Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.063813,63.813,6.2584,0.063813,63.813,0.62873,0.063813,63.813,10.225
0.064049,64.049,7.0829,0.064049,64.049,0.65806,0.064049,64.049,11.61
0.064286,64.286,5.8664,0.064286,64.286,0.43583,0.064286,64.286,9.6925
0.064522,64.522,9.2928,0.064522,64.522,0.4575,0.064522,64.522,15.518
0.064758,64.758,11.155,0.064758,64.758,0.63604,0.064758,64.758,18.567
0.064995,64.995,6.5151,0.064995,64.995,0.55889,0.064995,64.995,10.712
0.065231,65.231,4.5519,0.065231,65.231,0.45262,0.065231,65.231,7.4401
0.065467,65.467,6.0118,0.065467,65.467,0.73872,0.065467,65.467,9.7271
0.065704,65.704,7.1347,0.065704,65.704,0.85523,0.065704,65.704,11.559
0.06594,65.94,6.7985,0.06594,65.94,0.82773,0.06594,65.94,11.005
0.066176,66.176,6.4472,0.066176,66.176,0.86342,0.066176,66.176,10.381
0.066413,66.413,7.3731,0.066413,66.413,0.89057,0.066413,66.413,11.941
0.066649,66.649,6.3684,0.066649,66.649,0.64191,0.066649,66.649,10.403
0.066885,66.885,6.4575,0.066885,66.885,0.67434,0.066885,66.885,10.532
0.067122,67.122,6.2735,0.067122,67.122,0.73242,0.067122,67.122,10.178
0.067358,67.358,7.3583,0.067358,67.358,0.76635,0.067358,67.358,12.003
0.067594,67.594,9.4184,0.067594,67.594,0.82798,0.067594,67.594,15.471
0.067831,67.831,11.873,0.067831,67.831,0.91898,0.067831,67.831,19.59
0.068067,68.067,12.411,0.068067,68.067,1.1122,0.068067,68.067,20.371
0.068303,68.303,11.036,0.068303,68.303,0.94725,0.068303,68.303,18.145
0.06854,68.54,14.567,0.06854,68.54,1.3905,0.06854,68.54,23.851
0.068776,68.776,12.077,0.068776,68.776,1.8334,0.068776,68.776,19.294
0.069012,69.012,6.9526,0.069012,69.012,1.6764,0.069012,69.012,10.67
0.069249,69.249,6.2017,0.069249,69.249,1.2152,0.069249,69.249,9.715
0.069485,69.485,7.0821,0.069485,69.485,1.0706,0.069485,69.485,11.318
0.069721,69.721,8.6483,0.069721,69.721,1.3631,0.069721,69.721,13.781
0.069958,69.958,11.846,0.069958,69.958,1.4434,0.069958,69.958,19.176
0.070194,70.194,14.234,0.070194,70.194,1.1105,0.070194,70.194,23.48
